Seeds for the ENGLISH Leaf Green version farmed by po and 10Ben.,,,,,,,,,,,,,,
#,Intro Time ms (GBA),Intro Time ms (NDS),MONO/LR,MONO/L=A,MONO/HELP,STEREO/LR,STEREO/L=A,STEREO/HELP,"MONO/LR, Start","MONO/L=A, Start","MONO/HELP, Start","STEREO/LR, Start","STEREO/L=A, Start","STEREO/HELP, Start"
609,43882,44891,93BD,93B4,93BE,93D4,93CB,93D5,93BE,25A7,A5F6,93D5,93CC,93CF
610,43899,44907,DD1C,DD0B,DD18,DD32,DD29,DD33,DD14,6788,EE83,DD2A,DD21,DD2C
611,43916,44924,25BF,25AF,25B0,25B8,25AF,25B0,25B0,A5F5,5B4F,25AF,25A7,25B0
612,43932,44941,6790,6790,6791,6790,6790,6788,6788,EE82,93C1,6791,677F,678B
613,43949,44958,A606,A5FF,A5F6,A606,A5FF,A5F6,A602,5B4E,E376,A5F6,A5ED,A5F6
614,43966,44974,EE9B,EE8A,EE8B,EE9B,EE8A,EE8B,EE94,93C7,2CC0,EE94,EE82,EE83
615,43983,44991,5B68,5B5F,5B60,5B7E,5B75,5B76,5B57,E37E,75F0,5B6E,5B65,5B66
616,43999,45008,93D8,93C8,93C9,93EE,93E5,93F1,93D2,2CB5,BF33,93F0,93E7,93E9
617,44016,45025,E38F,E386,E388,E387,E386,E37F,E37E,75ED,0884,E37E,E37F,E376
618,44033,45041,2CC6,2CC5,2CBE,2CC6,2CC5,2CBE,2CBD,BF29,5246,2CBD,2CB5,2CC0
619,44050,45058,75FD,75EB,75F5,75FD,75F6,75F6,75F5,0882,9B70,75ED,75E4,75F0
620,44066,45075,BF3A,BF32,BF3A,BF3A,BF32,BF3A,BF3B,524E,CA14,BF3B,BF29,BF2A
621,44083,45092,0889,087F,088C,0889,087F,088C,088C,9B79,1399,088C,0878,0884
622,44100,45109,525F,5255,524E,5275,526D,5263,5258,CA1D,5C65,526F,5265,525E
623,44117,45125,9B8C,9B77,9B84,9BA8,9B9E,9B9F,9B78,13A1,A58C,9B9F,9B95,9B8E
624,44133,45142,CA24,CA23,CA1C,CA24,CA27,CA1C,CA1C,5C5B,F40C,CA26,CA1B,CA14
625,44150,45159,13B3,13A0,13AA,13A9,13A7,13AA,13AB,A597,3677,13AB,139F,1399
626,44167,45176,5C75,5C6C,5C70,5C75,5C6C,5C70,5C64,F402,814B,5C6D,5C5B,5C5C
627,44184,45192,A59C,A593,A59D,A59C,A593,A594,A59D,3673,C3CE,A59D,A597,A58C
628,44200,45209,F41C,F413,F40B,F434,F42B,F423,F414,814A,13D6,F42C,F41A,F424
629,44217,45226,3685,367B,367D,36A5,3690,369A,367C,C3C0,5AF5,369A,3688,3692
630,44234,45243,815B,8152,8149,815B,8152,8149,8153,13D5,A640,8153,8140,814B
631,44250,45259,C3DB,C3C8,C3D4,C3D1,C3C8,C3D4,C3D3,5AEB,EF9A,C3D3,C3CB,C3CB
632,44267,45276,13E6,13DD,13D4,13DE,13DD,13D6,13DE,A634,38D5,13DE,13CD,13D6
633,44284,45293,5AFC,5AF3,5AFE,5AFC,5AFC,5AFE,5AFD,EF90,6637,5AFD,5AF4,5AF5
634,44301,45310,A650,A647,A648,A650,A647,A648,A63D,38D7,9528,A63D,A634,A640
635,44317,45326,EFA1,EF98,EFA2,EFA1,EF98,EFA2,EFA2,6636,DEB7,EFA2,EF99,EF9A
636,44334,45343,38DC,38D3,38D4,38DC,38D3,38DD,38D4,9529,2794,38DD,38D7,38D5
637,44351,45360,663D,663E,663F,6647,663E,663F,663F,DEB7,DB51,663F,6636,662D
638,44368,45377,9538,9529,9528,9538,9529,9536,9535,2792,0A88,9535,9529,9528
639,44384,45393,DEC6,DEB7,DEB8,DEE2,DECF,DED1,DEBF,DB46,583E,DEDA,DECF,DED1
640,44401,45410,27A4,279E,279E,27B7,27B9,27AF,279F,0A95,A0EF,27B8,27B3,27B6
641,44418,45427,DB63,DB4E,DB4F,DB7F,DB6C,DB6D,DB4F,583D,E5C8,DB6D,DB6E,DB65
642,44435,45444,0AA7,0A93,0A9F,0AC6,0AB2,0ABE,0A9D,A0EE,27DB,0ABB,0AA9,0AB6
643,44451,45461,584E,584F,584F,5889,5880,5881,5852,E5BB,7BA4,5881,5878,5879
644,44468,45477,A106,A0FD,A0F7,A128,A11B,A11C,A0FE,27D2,D604,A113,A10A,A114
645,44485,45494,E5D6,E5CC,E5CF,E5EE,E5DA,E5E7,E5C3,7B9D,0E79,E5DC,E5D1,E5D4
646,44502,45511,27E2,27DA,27DB,2801,27F7,27F9,27DB,D60A,5882,2801,27FA,27F1
647,44518,45528,7BAE,7BAB,7BAC,7BAE,7BAB,7BAC,7BA6,0E6B,A1A7,7BAC,7BA3,7BA4
648,44535,45544,D614,D612,D60C,D63A,D631,D632,D613,5889,EA5C,D632,D620,D621
649,44552,45561,0E7C,0E7A,0E74,0E89,0E7A,0E74,0E74,A1A6,345B,0E7B,0E72,0E73
650,44569,45578,589A,5891,588A,58B9,58B0,58B1,588A,EA55,9736,58A7,58A8,589F
651,44585,45595,A1B7,A1AE,A1AF,A1CC,A1C3,A1CB,A1AF,3454,C83A,A1CB,A1C6,A1BC
652,44602,45611,EA66,EA66,EA64,EA7C,EA7E,EA80,EA66,9741,1125,EA80,EA74,EA75
653,44619,45628,346A,345B,345D,3481,3478,3479,3462,C839,5B95,3483,3470,3471
654,44636,45645,974F,9746,9747,976D,9764,975C,974B,112D,A4E8,9768,975C,9760
655,44652,45662,C841,C838,C839,C85E,C860,C85F,C842,5B9C,ED14,C85F,C856,C857
656,44669,45678,1140,112C,1136,115C,1153,114B,112D,A4E0,370E,114B,1142,1143
657,44686,45695,5BA5,5BA4,5B9D,5BCB,5BBA,5BC3,5B9D,ED13,7478,5BC3,5BBA,5BBB
658,44703,45712,A4F1,A4EF,A4F4,A527,A52A,A51F,A4E9,3710,C828,A51F,A516,A520
659,44719,45729,ED24,ED25,ED1C,ED4C,ED38,ED44,ED1C,746E,0ADD,ED39,ED3B,ED31
660,44736,45745,3715,3718,370F,371E,3717,370F,370F,C827,4919,3716,3706,3711
661,44753,45762,747F,7476,7477,749D,749C,74A1,7477,0AD2,9163,7495,748C,7495
662,44769,45779,C838,C836,C830,C83F,C82F,C837,C837,490E,DB44,C830,C82E,C82F
663,44786,45796,0AEB,0ADF,0AE8,0AFF,0AF6,0B04,0AE4,9158,47B0,0AF9,0AFA,0AFA
664,44803,45813,492A,4916,4921,491F,4921,4917,4921,DB38,78D5,4917,490E,491A
665,44820,45829,9173,9160,916C,918B,9179,9183,9161,47A6,C1C5,917A,917A,917B
666,44836,45846,DB49,DB40,DB4E,DB68,DB68,DB60,DB41,78DD,16B0,DB60,DB60,DB61
667,44853,45863,47BF,47AE,47AF,47DF,47D4,47D5,47AF,C1CB,54E8,47D5,47CC,47CD
668,44870,45880,78EB,78DC,78E2,790C,7902,7904,78DE,16A7,9DB0,78FB,78F6,78F9
669,44887,45896,C1D3,C1D4,C1D5,C1FF,C1F3,C1EA,C1D3,54DB,F319,C1EA,C1E2,C1E3
670,44903,45913,16C0,16B7,16B8,16DE,16D5,16CE,16B0,9DAF,303D,16CE,16CD,16D1
671,44920,45930,54FA,54F2,54F2,5517,550F,5510,54F2,F323,78A8,5511,54FC,5509
672,44937,45947,9DC2,9DAE,9DBB,9DDA,9DD0,9DD3,9DAF,3043,B7DC,9DC9,9DC8,9DC9
673,44954,45963,F334,F320,F321,F348,F33F,F340,F32E,78A7,1662,F34B,F342,F338
674,44970,45980,304D,304E,3045,3075,306B,306B,3045,B7DA,552A,3062,305B,3060
675,44987,45997,78AC,78AB,78B0,78AC,78A4,78A5,78A5,165F,9F0F,78A5,789C,7899
676,45004,46014,B7E1,B7E3,B7E3,B7FF,B800,B801,B7E3,5522,0FF8,B801,B7FB,B7F9
677,45021,46030,1670,1667,165E,1670,1667,165E,165E,9F0D,2B1B,1668,1655,1656
678,45037,46047,5530,552A,5532,5556,554E,5544,5530,0FF7,740B,5543,5541,5545
679,45054,46064,9F1F,9F17,9F0F,9F3E,9F34,9F35,9F17,2B11,BDD3,9F3A,9F30,9F26
680,45071,46081,1008,1009,1008,103E,1035,103D,1000,740A,0630,103D,102D,102E
681,45088,46098,2B2B,2B19,2B21,2B58,2B4F,2B58,2B23,BDC8,4F2D,2B58,2B47,2B48
682,45104,46114,741B,7412,741D,745B,7454,7449,741D,0638,9871,7453,7449,744A
683,45121,46131,BDD9,BDD0,BDDB,BE19,BE0F,BE10,BDDB,4F2C,E219,BE10,BDFF,BE00
684,45138,46148,0640,0640,0638,0667,065E,065F,0641,9870,2B2C,065F,064B,064C
685,45155,46165,4F34,4F35,4F2C,4F4B,4F4D,4F4E,4F36,E221,6D06,4F4C,4F3A,4F44
686,45171,46181,988B,9883,9883,98A0,98A0,98A2,9883,2B2B,AA40,9898,988F,989A
687,45188,46198,E232,E22A,E221,E24A,E241,E239,E221,6CF9,EE8D,E242,E230,E231
688,45205,46215,2B3C,2B3C,2B34,2B63,2B5A,2B5B,2B34,AA35,1CEC,2B5B,2B52,2B53
689,45222,46232,6D17,6D01,6D0D,6D29,6D29,6D2D,6D0E,EE83,9F57,6D21,6D21,6D19
690,45238,46248,AA4F,AA3D,AA3E,AA46,AA3D,AA47,AA47,1CF4,DF02,AA3E,AA35,AA36
691,45255,46265,EE9D,EE94,EE95,EE9D,EE8B,EE8C,EE95,9F4B,2839,EE95,EE8C,EE84
692,45272,46282,1CFC,1CF3,1CF4,1D24,1D1A,1D13,1CF4,DF00,71FE,1D1B,1D12,1D0B
693,45289,46299,9F66,9F5E,9F5B,9F5E,9F5E,9F5D,9F5F,2838,BAC3,9F5E,9F54,9F4E
694,45305,46315,DF08,DF09,DF0A,DF12,DF09,DF0C,DF09,7205,03F7,DF09,DF01,DEF8
695,45322,46332,2849,2848,284B,2849,2848,2841,2841,BACB,4DBD,2841,2838,2843
696,45339,46349,720E,720E,7206,7226,7227,721E,7206,03F4,967B,721E,7215,7216
697,45355,46366,BAD3,BAD3,BACB,BAD3,BACA,BACB,BACB,4DB9,DFB8,BACB,BACE,BAC3
698,45372,46382,03FC,03F3,03FD,0405,03F3,03FD,03FD,967A,05B0,03F4,03F4,03EC
699,45389,46399,4DC0,4DB7,4DB8,4DDF,4DD6,4DD7,4DC2,DFAD,2A4F,4DDE,4DD5,4DDA
700,45406,46416,968D,9682,9683,968B,9679,967A,967A,05A7,71FF,9683,967A,967B
701,45422,46433,DFC8,DFC2,DFC0,DFC8,DFC2,DFC0,DFC0,2A45,E596,DFC0,DFAD,DFAE
702,45439,46450,05B8,05AF,05AF,05B8,05AF,05AF,05B0,7206,19FE,05BA,05A7,05B0
703,45456,46466,2A62,2A4D,2A57,2A7A,2A6E,2A6F,2A57,E5A0,6CAB,2A6F,2A5D,2A67
704,45473,46483,7217,7210,720F,7217,7210,720F,720F,19FD,B5FC,720F,7206,71FF
705,45489,46500,E5AE,E59D,E5A6,E5BE,E5B5,E5BE,E5A6,6CAA,FEB1,E5B6,E5B9,E5AE
706,45506,46517,1A04,1A05,1A06,1A0E,1A05,1A06,1A06,B5F2,4805,1A06,19FD,19F4
707,45523,46533,6CBC,6CB5,6CB3,6CBC,6CB5,6CB3,6CB3,FEA5,9130,6CB4,6CA1,6CAB
708,45540,46550,B603,B5FA,B604,B620,B622,B621,B5FB,4804,DB27,B618,B60F,B619
709,45556,46567,FEB6,FEB6,FEAE,FEB6,FEB6,FEB7,FEAE,912F,243D,FEAE,FEB0,FEAF
710,45573,46584,480C,480C,4804,480C,4803,4804,480D,DB1C,6CEA,480D,4804,4805
711,45590,46600,9136,912D,9137,9136,912D,9137,912E,2444,B628,912E,912F,9130
712,45607,46617,DB35,DB24,DB2D,DB4D,DB3C,DB45,DB2D,6CDF,FF76,DB45,DB34,DB3D
713,45623,46634,2455,2444,2445,2475,246B,246C,244D,B630,48AB,246D,245A,2464
714,45640,46651,6CF0,6CF2,6CF2,6CFA,6CE7,6CE8,6CE8,FF6B,E4FA,6CF2,6CE9,6CEB
715,45657,46667,B641,B638,B630,B641,B62F,B630,B639,48B4,07D8,B630,B630,B628
716,45674,46684,FF86,FF73,FF7D,FF86,FF73,FF7D,FF74,E4F0,514B,FF74,FF6B,FF75
717,45690,46701,48BB,48B2,48BD,48BB,48BC,48BD,48BD,07D7,9540,48BD,48B4,48AB
718,45707,46718,E508,E4FF,E500,E576,E56D,E56E,E4F9,5152,E2D3,E565,E55C,E566
719,45724,46735,07E8,07E2,07E3,081E,0815,0816,07D8,953F,2C74,080E,0805,080E
720,45741,46751,515B,515A,515B,519B,5190,5189,5153,E2D2,75B4,5193,5188,5181
721,45757,46768,9548,954B,9540,9570,9566,956A,9540,2C6C,BF38,955E,9555,9562
722,45774,46785,E2E3,E2E3,E2E4,E2E3,E2E3,E2DB,E2E4,75AB,074C,E2E4,E2DB,E2D3
723,45791,46802,2C7C,2C7B,2C7D,2CBD,2CB2,2CAA,2C7E,BF37,476C,2CAA,2CAA,2CAD
724,45808,46818,75BC,75B3,75BC,75FB,75F2,75F3,75BC,0741,6791,75E9,75EA,75EB
725,45824,46835,BF3F,BF3F,BF37,BF7E,BF75,BF79,BF40,476B,B08F,BF6D,BF64,BF6E
726,45841,46852,075E,0749,074A,0770,0767,0768,0753,6798,F963,0771,075F,0760
727,45858,46869,4772,4769,4776,477C,4769,4774,476A,B092,7215,476A,476C,476C
728,45875,46885,67AB,6798,67A1,67AB,67A0,6799,6799,F962,ADF1,67A1,6798,6791
729,45891,46902,B09F,B08E,B099,B097,B098,B099,B08F,7214,F942,B08F,B092,B091
730,45908,46919,F973,F962,F96B,F973,F96A,F96D,F96B,ADE6,4019,F963,F95A,F963
731,45925,46936,7225,721C,7216,725D,7254,724B,7216,F940,890F,7255,724C,724D
732,45941,46952,ADF7,ADEE,ADEF,AE39,AE24,AE30,ADF9,4022,CDCC,AE2F,AE26,AE27
733,45958,46969,F952,F94B,F949,F9B3,F9B6,F9B6,F940,8917,0013,F9B5,F9AC,F9A3
734,45975,46986,4029,402A,4021,4048,4047,4040,4021,CDCB,4930,4048,4042,4040
735,45992,47003,891F,8916,8917,8940,8937,8938,8917,0012,9152,892E,8925,8930
736,46008,47019,CDDC,CDDD,CDDE,CE03,CDFC,CDFD,CDDE,4924,BFB5,CDF3,CDEA,CDF6
737,46025,47036,002C,0019,001A,003C,0031,0034,001B,9147,EEA5,0034,002B,0034
738,46042,47053,493F,492C,4939,4954,494B,4955,492D,BFBE,368D,4955,494C,4944
739,46059,47070,9158,914F,9158,9158,914F,9150,9158,EE9C,806D,9150,914F,9148
740,46075,47087,BFD0,BFBC,BFBD,BFEC,BFE3,BFDC,BFC8,368C,4821,BFE4,BFDB,BFD4
741,46092,47103,EEAD,EEAC,EEAD,EED4,EECB,EEC2,EEAD,8075,7DF4,EEC2,EEC3,EEBA
742,46109,47120,36A6,369D,3695,36A6,369D,369E,369E,481A,C6F8,3695,3695,368D
743,46126,47137,8086,807D,807E,80A4,809B,8093,807E,7DF3,10DC,809C,8093,808B
744,46142,47154,482B,482A,4823,4831,4829,4829,4829,C6F7,59B0,482B,481A,4821
745,46159,47170,7DFC,7DF3,7DF4,7E04,7DF3,7DFC,7DFC,10D9,A356,7DFC,7DF3,7DF4
746,46176,47187,C710,C707,C70A,C710,C6FF,C70A,C708,59AF,FBEB,C700,C6F7,C6F8
747,46193,47204,10EE,10E1,10E2,10F9,10FA,10FB,10E2,A355,305B,10FB,10F2,10F3
748,46209,47221,59C0,59B7,59C0,59C8,59BF,59B8,59C0,FBDF,7E2C,59B8,59AF,59BA
749,46226,47237,A35D,A354,A355,A37B,A372,A37B,A361,305A,C74E,A373,A36A,A36B
750,46243,47254,FBFB,FBE7,FBE8,FBF0,FBF2,FBE8,FBF5,7E34,10AC,FBE8,FBDF,FBE0
751,46260,47271,3063,3062,3063,3063,3062,3063,305B,C744,59CA,3063,305A,3053
752,46276,47288,7E3C,7E3D,7E34,7E3C,7E33,7E34,7E34,10AB,A396,7E3D,7E2B,7E2C
753,46293,47304,C75E,C74C,C74D,C75E,C74C,C74D,C74D,59D3,0C83,C74D,C744,C74E
754,46310,47321,10BC,10AA,10AB,10BC,10AA,10AB,10B4,A395,39D3,10B4,10AB,10A3
755,46327,47338,59E4,59D1,59DC,59E5,59D1,59DC,59D2,0C8C,8554,59D2,59D3,59CA
756,46343,47355,A3AE,A39D,A39E,A3C7,A3B5,A3B6,A3A6,39D3,CFC2,A3BF,A3AD,A3AE
757,46360,47371,0C9E,0C8A,0C8B,0C93,0C8A,0C8B,0C95,8563,1544,0C8B,0C82,0C8D
758,46377,47388,39EC,39DC,39DD,39EC,39DC,39DD,39DC,CFB5,6080,39DC,39DF,39D3
759,46394,47405,8570,8569,855B,858E,8584,8580,8563,1537,B356,858A,8580,8574
760,46410,47422,CFC7,CFBE,CFBF,CFD0,CFC9,CFC8,CFBF,6076,F3F9,CFBF,CFB5,CFC2
761,46427,47439,1554,1542,1544,154D,1542,1544,1550,B355,3D2C,1542,1537,1544
762,46444,47455,6086,6088,6086,6086,6088,607E,607D,F3EE,737C,607D,6076,6080
763,46461,47472,B370,B36A,B36A,B3A7,B3A1,B39F,B368,3D2B,BEC2,B39F,B38C,B38D
764,46477,47489,F3FF,F400,F402,F409,F3F4,F401,F403,7385,05E0,F402,F3F8,F3F9
765,46494,47506,3D35,3D32,3D2D,3D35,3D2B,3D2D,3D2A,BEB9,4FAB,3D34,3D24,3D2C
766,46511,47522,7396,7390,738E,738C,738D,7384,7384,05DF,C8C3,7384,7385,7386
767,46527,47539,BED2,BEC1,BECA,BED2,BEC1,BECA,BECC,4FA0,001F,BECC,BEB9,BEC2
768,46544,47556,05F3,05DE,05E8,05F3,05DE,05E8,05DF,C8C2,4938,05DF,05DF,05E0
769,46561,47573,4FBB,4FA8,4FA9,4FD1,4FC1,4FC2,4FA9,001E,941D,4FC2,4FB9,4FC1
770,46578,47589,C8DC,C8CA,C8CB,C8F1,C8F1,C8E9,C8CB,493E,DBAD,C8F2,C8E9,C8EA
771,46594,47606,0025,001C,001D,002F,0027,0027,001D,9425,24F4,001D,001E,0015
772,46611,47623,4951,493F,4949,4951,493F,4949,4949,DBAC,76F1,4949,4937,4938
773,46628,47640,942D,942D,942E,942D,942D,942E,9425,24FB,B937,942E,9425,941D
774,46645,47656,DBBD,DBAC,DBB5,DBBD,DBAC,DBB5,DBB5,76E8,020C,DBB5,DBAE,DBAD
775,46661,47673,2504,2503,2504,2504,2503,2504,24FC,B93A,2C2D,24FC,24FB,24F4
776,46678,47690,76F9,76F0,76F9,7712,7709,7712,76F1,020B,7411,770A,7701,770A
777,46695,47707,B93E,B942,B93F,B95D,B95E,B955,B93F,2C2C,B17D,B961,B955,B94D
778,46712,47724,021D,0213,0216,021C,0213,0215,020B,740F,069A,0214,020D,020D
779,46728,47740,2C45,2C34,2C3D,2C45,2C34,2C35,2C3D,B171,7FCA,2C3D,2C2C,2C2D
780,46745,47757,7420,740F,7418,7420,740F,7419,7418,068F,A199,7418,740F,7411
781,46762,47774,B18D,B184,B185,B18D,B184,B185,B185,7FBF,EAB2,B185,B171,B17D
782,46779,47791,06A0,0697,0698,06B8,06AF,06B0,06A1,A198,3441,06B7,06A7,06B1
783,46795,47807,7FD0,7FD1,7FC8,8006,7FFD,7FFE,7FD5,EABD,7CE5,800B,7FF5,8001
784,46812,47824,A1A9,A1A0,A198,A1DF,A1CD,A1D7,A1A4,3448,C5C5,A1D8,A1C5,A1CF
785,46829,47841,EACE,EAB9,EABA,EB01,EAF0,EAF9,EAC4,7CDB,0F12,EAF1,EAE8,EAF1
786,46846,47858,3451,3448,3453,348F,3486,347E,3449,C5C4,589C,347E,3475,3480
787,46862,47874,7CEC,7CE3,7CED,7D14,7D02,7D0C,7CE4,0F08,A185,7D0C,7D03,7D04
788,46879,47891,C5D5,C5CC,C5CD,C5ED,C5E4,C5EE,C5D6,589B,C884,C5E5,C5DC,C5E6
789,46896,47908,0F22,0F10,0F1A,0F3F,0F36,0F37,0F1A,A18F,086B,0F39,0F26,0F27
790,46913,47925,58B6,58B0,58AE,58CF,58C6,58C5,58AE,C87B,4F47,58C5,58BE,58BD
791,46929,47941,A19F,A199,A197,A1B4,A1AB,A1AC,A197,086A,A6EB,A1B6,A1AB,A1A4
792,46946,47958,C88C,C88B,C88C,C88C,C883,C88C,C884,4F46,E124,C88E,C87B,C87C
793,46963,47975,0873,086A,0873,089A,0888,0892,0873,A6EB,2F3E,0891,0880,0880
794,46980,47992,4F57,4F58,4F4F,4F61,4F4E,4F4F,4F4F,E11A,785C,4F4F,4F46,4F4E
795,46996,48008,A6F2,A6E9,A6F3,A728,A726,A727,A6EA,2F3D,C082,A72A,A717,A71F
796,47013,48025,E134,E12B,E12E,E144,E13B,E144,E12C,785B,0A82,E13C,E133,E13C
797,47030,48042,2F4E,2F45,2F3C,2F67,2F5B,2F55,2F48,C081,5315,2F5C,2F53,2F54
798,47047,48059,786C,7863,786D,7885,787C,7886,7864,0A81,9E0D,7886,7874,787F
799,47063,48076,C092,C093,C097,C092,C089,C094,C097,530A,E586,C08A,C08B,C08C
800,47080,48092,0A99,0A89,0A8A,0AB1,0AA8,0AA1,0A8A,9E16,13C2,0AA1,0A98,0AA1
801,47097,48109,531B,5312,5313,5328,531C,531D,5313,E585,3E77,531D,5314,530B
802,47113,48126,9E1D,9E14,9E15,9E60,9E53,9E55,9E22,13C3,8777,9E4C,9E4C,9E4D
803,47130,48143,E596,E58D,E598,E596,E597,E58E,E58E,3E76,D043,E58E,E585,E586
804,47147,48159,13DE,13D0,13D8,13DE,13D0,13D9,13D6,876E,57CD,13D8,13C3,13CE
805,47164,48176,3E7E,3E75,3E7F,3E7E,3E75,3E7F,3E76,D042,9199,3E7F,3E76,3E77
806,47180,48193,877F,877E,877F,8789,8780,8777,8777,57CC,DA38,8777,8776,877B
807,47197,48210,D053,D052,D04B,D051,D04A,D04B,D049,91A0,1B97,D04B,D04A,D043
808,47214,48226,57E7,57D4,57D5,57E7,57D4,57D5,57D5,DA37,6CB8,57DF,57CC,57CD
809,47231,48243,91B3,91A0,91A9,91B3,91A0,91AD,91AB,1B96,B606,91A1,91A2,9199
810,47247,48260,DA48,DA3F,DA40,DA48,DA3F,DA40,DA40,6CB7,FF44,DA40,DA3F,DA40
811,47264,48277,1B9E,1B9E,1B96,1BD5,1BD5,1BCD,1B96,B605,4880,1BCD,1BCD,1BC5
812,47281,48293,6CD3,6CBF,6CCA,6CC8,6CC7,6CC0,6CC8,FF43,9253,6CC8,6CB7,6CC0
813,47298,48310,B616,B606,B60E,B60F,B610,B607,B60E,487F,D38C,B60E,B605,B606
814,47314,48327,FF5E,FF4B,FF54,FF54,FF4B,FF54,FF55,925B,11B0,FF55,FF43,FF44
815,47331,48344,4890,4887,488A,4893,4887,488A,4880,D380,5A88,4880,487F,4882
816,47348,48361,9263,925A,9264,9282,9279,927A,925B,11B9,A3BC,927A,9279,9272
817,47365,48377,D39A,D388,D392,D391,D393,D389,D393,5A87,5883,D392,D38B,D38A
818,47381,48394,11C8,11B7,11C0,11C0,11B7,11C0,11C0,A3AE,8D88,11C0,11B9,11B0
819,47398,48411,5A8E,5A8F,5A93,5A98,5A85,5A93,5A90,5882,D7AC,5A90,5A87,5A88
820,47415,48428,A3BF,A3C0,A3B7,A3BF,A3C0,A3B7,A3B7,8D92,204E,A3B7,A3AE,A3BC
821,47432,48444,589D,588A,588B,58D3,58C1,58C2,5897,D7AB,688C,58CD,58B9,58BA
822,47448,48461,8D99,8D9A,8D91,8DC1,8DBA,8DAF,8D90,2058,AB6A,8DAE,8DA4,8DA6
823,47465,48478,D7C8,D7BE,D7B4,D80A,D801,D802,D7B4,6889,FB97,D7FD,D7EF,D7F0
824,47482,48495,2067,2055,205F,2086,207D,207D,205F,AB72,4509,207E,2074,2075
825,47499,48511,6891,6887,6894,6891,6887,6894,6892,FB97,8D85,6889,6889,6881
826,47515,48528,AB7A,AB71,AB7B,ABA0,AB8F,AB98,AB7B,4508,BECA,AB98,AB87,AB90
827,47532,48545,FB9E,FB96,FB96,FBC0,FBB5,FBB9,FBA0,8D7B,163C,FBB7,FBA4,FBA7
828,47549,48562,4510,4513,4507,453B,4527,4532,450A,BEC9,541E,4532,451F,451F
829,47566,48578,8D95,8D8D,8D84,8D8C,8D83,8D84,8D85,1633,9DF4,8D91,8D7B,8D7D
830,47582,48595,BEDA,BED1,BEDC,BF01,BEED,BEEE,BEDA,5414,1718,BEF9,BEE5,BEE6
831,47599,48612,164E,1645,163C,166B,1662,1663,1644,9DE8,4C25,1663,165D,1651
832,47616,48629,5430,5425,5428,542E,541C,5426,541D,1719,975E,5426,5421,541E
833,47632,48645,9E03,9DFA,9DFB,9E17,9E18,9E19,9DFB,4C1C,E11C,9E1A,9E10,9E12
834,47649,48662,1728,1715,1720,1736,1735,172E,1720,9766,2821,172E,172D,1731
835,47666,48679,4C2D,4C2F,4C25,4C4E,4C45,4C3E,4C2D,E111,730A,4C46,4C3E,4C36
836,47683,48696,9777,976E,976F,9785,9784,9785,9766,2816,9E0F,977D,977C,9775
837,47699,48713,E122,E122,E11A,E144,E13B,E133,E11A,7312,DF0F,E13C,E133,E134
838,47716,48729,2831,2828,2829,283F,2836,2842,281F,9E17,2FA2,2837,2838,282F
839,47733,48746,731A,7311,7312,7339,7339,733A,731B,DF17,5D4C,733A,7328,7332
840,47750,48763,9E1F,9E16,9E21,9E37,9E2E,9E2F,9E20,2FA2,8821,9E2F,9E32,9E27
841,47766,48780,DF28,DF20,DF17,DF28,DF16,DF20,DF17,5D54,D11D,DF20,DF0E,DF18
842,47783,48796,2FBC,2FB4,2FB5,2FB3,2FA9,2FAB,2FAB,8817,19F7,2FAB,2FAB,2FA2
843,47800,48813,5D65,5D5C,5D5D,5D65,5D53,5D5D,5D54,D11A,C48D,5D54,5D4B,5D4C
844,47817,48830,8830,882C,8828,8828,882C,8828,881F,19F3,FB8A,8829,8817,8817
845,47833,48847,D138,D12D,D12F,D137,D121,D12F,D12F,C47F,452F,D12F,D123,D126
846,47850,48863,19FB,19FC,19EF,19FB,19FC,19FE,19F1,FB8B,8E63,19F1,19F3,19F7
847,47867,48880,C49D,C494,C495,C4B5,C4AC,C4A1,C495,4535,D67C,C4AD,C498,C4A5
848,47884,48897,FBA4,FB9A,FB9D,FBBB,FBAB,FBA9,FB9C,8E6D,2060,FBB2,FBAB,FBAD
849,47900,48914,453C,453D,453E,4575,4576,456D,4537,D67B,7AEC,456E,4564,456F
850,47917,48930,8E78,8E6B,8E70,8E99,8E88,8E91,8E6B,206C,B25E,8E8E,8E8A,8E86
851,47934,48947,D682,D683,D67C,D68D,D681,D684,D685,7AEB,FB6C,D678,D66E,D67C
852,47951,48964,2073,206C,2074,2096,208B,2084,2068,B268,3DB9,2083,207B,207B
853,47967,48981,7AFC,7AF3,7AF4,7B31,7B1C,7B29,7AF4,FB70,8E21,7B1D,7B14,7B21
854,47984,48997,B277,B270,B268,B277,B268,B270,B274,3DB8,D73E,B26F,B269,B25E
855,48001,49014,FB85,FB7F,FB74,FB85,FB7B,FB74,FB73,8E20,207E,FB79,FB70,FB6C
856,48018,49031,3DC9,3DBD,3DC1,3DC9,3DBD,3DC1,3DBE,D73E,815A,3DBE,3DB8,3DB9
857,48034,49048,8E25,8E1F,8E29,8E2F,8E1F,8E2C,8E1E,207E,B513,8E1E,8E20,8E21
858,48051,49065,D746,D747,D747,D746,D73D,D73D,D747,8160,FE2C,D747,D731,D73E
859,48068,49081,208E,2087,2087,2086,2087,2087,207D,B505,4806,207D,207E,207E
860,48085,49098,8168,815B,8160,8187,817F,817F,8162,FE27,910D,8180,8177,8178
